"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"CM0100","2019-09-23 00:00:00","25.000","72.000","0.900","23.000","0.740","1012.800","","0.000","-99.000","-99.000","-99.000","27.500","","20.800",""
"C0AC70","2019-09-23 00:00:00","71.000","0.000","0.000","22.600","0.780","1007.800","","0.000","-99.000","-99.000","-99.000","27.500","","20.900",""
"CM0130","2019-09-23 00:00:00","11.000","338.000","3.600","25.500","0.730","1013.500","","0.000","-99.000","-99.000","-99.000","27.700","","24.200",""
"C0W110","2019-09-23 00:00:00","16.000","40.000","4.500","-99.000","-99.000","1014.700","","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0R670","2019-09-23 00:00:00","26.000","85.000","0.900","24.500","-99.000","1012.100","","12.000","-99.000","-99.000","-99.000","26.700","","22.800",""
"C0X120","2019-09-23 00:00:00","28.000","352.000","1.800","23.800","0.800","1011.900","","0.000","-99.000","-99.000","-99.000","30.100","","23.800",""
"C0R100","2019-09-23 00:00:00","1006.000","144.000","0.300","19.200","0.980","905.000","","0.000","-99.000","-99.000","-99.000","22.300","","17.700",""
"C0C700","2019-09-23 00:00:00","151.000","139.000","0.800","23.000","0.730","999.100","","0.000","-99.000","-99.000","-99.000","26.300","","21.400",""
"C0W130","2019-09-23 00:00:00","18.000","28.000","3.800","25.300","0.760","1011.500","","0.000","-99.000","-99.000","-99.000","28.600","","24.100",""
"C0F9R0","2019-09-23 00:00:00","20.000","41.000","3.100","23.800","0.780","1012.900","","0.000","-99.000","-99.000","-99.000","28.900","","23.000",""
"C0V660","2019-09-23 00:00:00","25.000","39.000","0.800","25.200","0.760","1011.900","","0.000","-99.000","-99.000","-99.000","31.400","","24.000",""
"C0G780","2019-09-23 00:00:00","27.000","14.000","2.600","24.200","0.650","1010.800","","0.000","-99.000","-99.000","-99.000","30.000","","23.400",""
"C0C590","2019-09-23 00:00:00","72.000","114.000","0.300","21.900","0.820","1006.900","","0.500","-99.000","-99.000","-99.000","27.900","","20.400",""
"C0I520","2019-09-23 00:00:00","3860.000","-99.000","-99.000","6.300","0.580","643.400","","-99.000","-99.000","-99.000","-99.000","8.800","","4.900",""
"C0E530","2019-09-23 00:00:00","341.000","30.000","1.400","21.000","0.770","975.700","","0.000","-99.000","-99.000","-99.000","26.900","","18.400",""
"C0M790","2019-09-23 00:00:00","15.000","16.000","1.400","23.300","0.710","1011.400","","0.000","-99.000","-99.000","-99.000","31.300","","23.300",""
"C0R130","2019-09-23 00:00:00","1040.000","260.000","1.100","18.900","0.990","898.800","","1.500","-99.000","-99.000","-99.000","23.200","","17.400",""
"C0AH30","2019-09-23 00:00:00","755.000","350.000","4.900","17.700","1.000","931.500","","0.500","-99.000","-99.000","-99.000","20.600","","15.800",""
"C0D560","2019-09-23 00:00:00","147.000","82.000","0.700","22.500","0.750","999.300","","0.000","-99.000","-99.000","-99.000","29.000","","21.400",""
"C0Z220","2019-09-23 00:00:00","589.000","0.000","0.000","18.800","1.000","950.700","","2.500","-99.000","-99.000","-99.000","22.200","","18.700",""
"C0S830","2019-09-23 00:00:00","288.000","13.000","3.700","20.900","0.950","984.400","","18.500","-99.000","-99.000","-99.000","24.200","","20.600",""
"C0S920","2019-09-23 00:00:00","98.000","110.000","0.500","22.700","0.970","999.500","","57.000","-99.000","-99.000","-99.000","26.800","","22.700",""
"C0S770","2019-09-23 00:00:00","375.000","84.000","1.000","20.900","1.000","972.900","","57.500","-99.000","-99.000","-99.000","23.800","","20.900",""
